Customer_ID,fldOrderNumber,fldQuoteNumber,fldOrderDescription,fldCustName,fldSiteAddress,fldCity,fldState,FldZip,fldSales,fldProjMngt,fldDesign,fldAcctCoor,fldContact,fldContactPhone,fldAftrHrsContact,fldAftrHrsPhone,fldLocAnch,fldBase,fldEagleRiver,fldValley,fldOutOfTown,fldStdTime,fldOvrTime,fldSubStdTime,fldSubOvrTime,fldSun,fldSat,fldMon_Fri,fldVillage,fldWarehouse,fldOnSite,fldNewUsed,fldPercentNewUsed,fldHotel,fldAirfare,fldRentCar,fldMisc,fldGovJob,fldGovCust,fldGovCont,fldGovWadge,fldPrevailWadge,fldIssueNum,fldOptOvertimeDelivery
0,000111,000111,,,,,,,3,Paul Moyers,Paul Moyers,Tiffany Ghan,AeroSpace,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,1,1,,CSC,,,,,3,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,54572,111111,,ANTHC,,,,,3,Paul Moyers,Melanie Browning,Pam Sebrey,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,53347,1111111,,,,,,,5,Tom Hawkins,Lonnie Hawkins,Vickie Stalmarck,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,123321,123321,,KANA,,,,,3,Paul Moyers,Paul Moyers,Vickie Stalmarck,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,82719,12345,,NSHC,,,,,3,Paul Moyers,Paul Moyers,Vickie Stalmarck,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,2629722,2629722-080422,VA Fairbanks CBOC Add-on Casework Request,VA Fairbanks,,Fairbanks,Alaska,,3,Joe Schroeder,Paul Moyers,Vickie Stalmarck,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,100.00%,$220.00,$500.00,$125.00,$50.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,VA_Mat-Su_PUNCH,2632171,VA Mat-Su CBOC PUNCH Product,VA Mat-SU,,Wasilla,Alaska,,3,Joe Schroeder,Paul Moyers,Vickie Stalmarck,Rick Miller,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,58990,2nd floor,Wells Fargo Bid 2nd floor,Wells Fargo,301 W Northern lights,Anchorage,AK,99503,3,Paul Moyers,Paul Moyers,Vickie Stalmarck,Tom Dawes,,Tom Dawes,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
0,58990,2nd floor 58990,Wells Fargo Bid 2nd floor,Wells Fargo,301 W Northern lights,Anchorage,AK,99503,3,Paul Moyers,Paul Moyers,Vickie Stalmarck,Tom Dawes,,Tom Dawes,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,100.00%,$0.00,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,$0.00,0,FALSE
